timestamp,gazeDirectionLeft.x,gazeDirectionLeft.y,gazeDirectionLeft.z,gazeDirectionRight.x,gazeDirectionRight.y,gazeDirectionRight.z
 ,-0.05104066,-0.02584693,-0.9983575,-0.05104066,-0.02584693,-0.9983575
 ,-0.05398561,-0.02552696,-0.9982017,-0.05398561,-0.02552696,-0.9982017
 ,-0.05229189,-0.02550453,-0.9982957,-0.05229189,-0.02550453,-0.9982957
 ,-0.05245973,-0.02429702,-0.9983246,-0.05245973,-0.02429702,-0.9983246
 ,-0.05247499,-0.03079057,-0.9981395,-0.05247499,-0.03079057,-0.9981395
 ,-0.0503998,-0.03025,-0.9982634,-0.0503998,-0.03025,-0.9982634
 ,-0.05238344,-0.03228822,-0.9981003,-0.05238344,-0.03228822,-0.9981003
 ,-0.05252077,-0.03062204,-0.9981388,-0.05252077,-0.03062204,-0.9981388
 ,-0.05252077,-0.03062204,-0.9981388,-0.05252077,-0.03062204,-0.9981388
 ,-0.05119325,-0.0300332,-0.9982363,-0.05119325,-0.0300332,-0.9982363
 ,-0.05140688,-0.02943639,-0.9982425,-0.05140688,-0.02943639,-0.9982425
 ,-0.05078126,-0.02869021,-0.9982926,-0.05078126,-0.02869021,-0.9982926
 ,-0.05062868,-0.02997373,-0.9982569,-0.05062868,-0.02997373,-0.9982569
 ,-0.05072023,-0.0310583,-0.9982233,-0.05072023,-0.0310583,-0.9982233
 ,-0.05169679,-0.03117591,-0.998167,-0.05169679,-0.03117591,-0.998167
 ,-0.05313112,-0.03084872,-0.9981037,-0.05313112,-0.03084872,-0.9981037
 ,-0.05271913,-0.03092738,-0.9981275,-0.05271913,-0.03092738,-0.9981275
 ,-0.05572511,-0.02805559,-0.9980417,-0.05572511,-0.02805559,-0.9980417
 ,-0.05293275,-0.02794728,-0.9982045,-0.05293275,-0.02794728,-0.9982045
 ,-0.04592896,-0.02533352,-0.9986169,-0.04592896,-0.02533352,-0.9986169
 ,-0.05390932,-0.02202737,-0.9982934,-0.05390932,-0.02202737,-0.9982934
 ,-0.05566408,-0.02233993,-0.9981896,-0.05566408,-0.02233993,-0.9981896
 ,-0.05068971,-0.02711657,-0.9983383,-0.05068971,-0.02711657,-0.9983383
 ,-0.0512848,-0.02414901,-0.9983835,-0.0512848,-0.02414901,-0.9983835
 ,-0.04872133,-0.02773656,-0.9984219,-0.04872133,-0.02773656,-0.9984219
 ,-0.04873659,-0.02477166,-0.9984975,-0.04873659,-0.02477166,-0.9984975
 ,-0.04997255,-0.02675308,-0.9983854,-0.04997255,-0.02675308,-0.9983854
 ,-0.0401764,-0.01792469,-0.99902,-0.0401764,-0.01792469,-0.99902
